一个不小心	一個不小心
一个心眼儿	一個心眼兒
一个接一个	一個接一個
一价吃到饱	一價吃到飽
一千零一夜	一千零一夜
一去不复返	一去不復返
一夫一妻制	一夫一妻制
一妻多夫制	一妻多夫制
一子继承制	一子繼承制
一对一斗牛	一對一鬥牛
一心挂两头	一心挂兩頭
一手托两家	一手托兩家
一沐三捉发	一沐三捉髮
一沐三握发	一沐三握髮
一物克一物	一物剋一物
一种粗棉布	一種粗棉布
一致性效应	一致性效應
一诺值千金	一諾值千金
一醉解千愁	一醉解千愁
一锹掘个井	一鍬掘個井
一面儿官司	一面兒官司
一鼻孔出气	一鼻孔出氣
丁种维生素	丁種維生素
七姊妹星团	七姊妹星團
万事起头难	萬事起頭難
万国博览会	萬國博覽會
万圣节前夕	萬聖節前夕
万恶淫为首	萬惡淫爲首
万福玛丽亚	萬福瑪麗亞
万般皆下品	萬般皆下品
万里春愁直	萬裏春愁直
三个臭皮匠	三個臭皮匠
三个鼻子管	三個鼻子管
三分钟热度	三分鐘熱度
三合一疫苗	三合一疫苗
三合复元音	三合複元音
三国志平话	三國志平話
三头马车制	三頭馬車制
三对三斗牛	三對三鬥牛
三思而后行	三思而後行
三杯和万事	三杯和萬事
三级三审制	三級三審制
三脚采茶戏	三腳採茶戲
上下五千年	上下五千年
上不了台面	上不了臺面
上不得台盘	上不得臺盤
下水道系统	下水道系統
不为米折腰	不爲米折腰
不以词害志	不以詞害誌
不以辞害志	不以辭害志
不切合实际	不切合實際
不吃烟火食	不吃煙火食
不合作运动	不合作運動
不干涉主义	不干涉主義
不干这把刀	不幹這把刀
不当一回事	不當一回事
不当人化化	不當人化化
不当家化化	不當家化化
不当家花拉	不當家花拉
不当家花花	不當家花花
不当家豁拉	不當家豁拉
不打不成才	不打不成才
不断电系统	不斷電系統
不正当关系	不正當關係
不正当竞争	不正當競爭
不确定故意	不確定故意
不等价交换	不等價交換
不结汇进口	不結匯進口
不能赞一辞	不能贊一辭
丑人多作怪	醜人多作怪
专制君主制	專制君主制
丙种经纪人	丙種經紀人
业余爱好者	業餘愛好者
东加里曼丹	東加里曼丹
东芝医疗系	東芝醫療繫
东非共同体	東非共同體
东非大裂谷	東非大裂谷
两个或更多	兩個或更多
两性化合物	兩性化合物
两极真空管	兩極真空管
两面不是人	兩面不是人
两面不讨好	兩面不討好
个人工作室	個人工作室
个人所得税	個人所得稅
个人秀空间	個人秀空間
个人追逐赛	個人追逐賽
个体手工业	個體手工業
中华电视台	中華電視臺
中华革命党	中華革命黨
中国共产党	中國共產黨
中国同盟会	中國同盟會
中国国民党	中國國民黨
中国地震台	中國地震臺
中国新民党	中國新民黨
中国时报系	中國時報系
中国美术馆	中國美術館
中国致公党	中國致公黨
中型钟表面	中型鐘表面
中央标准局	中央標準局
中央电视台	中央電視臺
临海水土志	臨海水土誌
主题论坛区	主題論壇區
久磁发电机	久磁發電機
久赌无胜家	久賭無勝家
义和团运动	義和團運動
乌兰察布市	烏蘭察布市
乌兹冲锋枪	烏茲衝鋒槍
乌兹别克人	烏茲別克人
乌兹别克族	烏茲別克族
乌孜别克族	烏孜別克族
乌孜别克语	烏孜別克語
乌拉特后旗	烏拉特後旗
乌梁海盆地	烏梁海盆地
乌苏里斯克	烏蘇里斯克
乌里雅苏台	烏里雅蘇臺
乌鲁克恰提	烏魯克恰提
乌鲁克穆河	烏魯克穆河
乔治克隆尼	喬治克隆尼
乔治克鲁尼	喬治克魯尼
乔治．布希	喬治．布希
乙种促效剂	乙種促效劑
乙种国库券	乙種國庫券
乙种维生素	乙種維生素
九九乘法表	九九乘法表
九亿五千万	九億五千萬
九千五百万	九千五百萬
乡民代表会	鄉民代表會
乡镇民代表	鄉鎮民代表
书写不能症	書寫不能症
买咸鱼放生	買鹹魚放生
买风云雷雨	買風雲雷雨
乱哄不过来	亂鬨不過來
乳糖不耐症	乳糖不耐症
乾坤大挪移	乾坤大挪移
事后诸葛亮	事後諸葛亮
二冲程引擎	二衝程引擎
二杆子脾气	二桿子脾氣
二进制编码	二進制編碼
二里头文化	二里頭文化
二重分类表	二重分類表
二项式系数	二項式係數
于奇库杜克	于奇庫杜克
于奇庫杜克	于奇庫杜克
于雾霭之中	於霧靄之中
于韋斯屈萊	于韋斯屈萊
于韦斯屈莱	于韋斯屈萊
云烟过眼录	雲煙過眼錄
云端里老鼠	雲端裏老鼠
云麾将军碑	雲麾將軍碑
五胡十六国	五胡十六國
五花腌猪肉	五花醃豬肉
五谷王北街	五谷王北街
五谷王南街	五谷王南街
亚历塞耶夫	亞歷塞耶夫
亚古亚布尔	亞古亞布爾
亚太经合会	亞太經合會
亚当山德勒	亞當山德勒
亚得里亚海	亞得里亞海
亚穆苏克罗	亞穆蘇克羅
亚美尼亚历	亞美尼亞曆
亚词汇单元	亞詞彙單元
亚里士多德	亞里士多德
亚里斯多德	亞里斯多德
交叉耐药性	交叉耐藥性
人克莱门斯	人克萊門斯
人才代训所	人才代訓所
人无前后眼	人無前後眼
人无千日好	人無千日好
人民联盟党	人民聯盟黨
人民行动党	人民行動黨
人生面不熟	人生面不熟
人畜共患症	人畜共患症
人穷志不穷	人窮志不窮
人面逐高低	人面逐高低
从外表来看	從外表來看
仙女座星系	仙女座星系
代数几何学	代數幾何學
以色列工党	以色列工黨
