PN接面	PN結
SQL隱碼攻擊	SQL注入 SQL注入攻擊
三極體	三極管
下拉選單	下拉列表
中介軟體	中間件
串列埠	串口 串行端口
主機板	主板
主開機記錄	主引導記錄
乙太網	以太網
乳酪	奶酪
二極體	二極管
互動	交互
互動式	交互式
亞塞拜然	阿塞拜疆
人工智慧	人工智能
介面	接口 界面
介面卡	適配器
代碼	代碼
伺服器	服務器
佇列	隊列
位元	比特
位元率	比特率
位元組	字節
位元速率	碼率
位址	地址
位址列	地址欄
低級	低級
低階	低級
作業系統	操作系統
使用者	用戶
來電轉駁	呼叫轉移
例項	實例
信號	信號
偵錯	調試
偵錯程式	調試器
傅立葉	傅里葉
傷心小棧	紅心大戰
價效比	性價比
優先順序	優先級
儲存	保存
元件	組件
光碟	光盤
光碟機	光驅
克羅埃西亞	克羅地亞
入口網站	門戶網站
內建	內置
內碼表	代碼頁
全形	全角
全球資訊網	萬維網
冷盤	凉菜
函數語言程式設計	函數式編程
刀鋒伺服器	刀片服務器
分散式	分佈式
分時多工	時分複用
分時多重進接	時分多址
分碼多重進接	碼分多址
分空間多重進接	空分多址
分頻多工	頻分複用
分頻多重進接	頻分多址
列印	打印
列支敦斯登	列支敦士登
列舉	枚舉
剪下	剪切
剪貼簿	剪貼板
副檔名	擴展名 文件擴展名
加彭	加蓬
匯入	導入
匯出	導出
匯流排	總線
區域網	局域網
千里達及托巴哥	特立尼達和多巴哥
半形	半角
卡達	卡塔爾
印表機	打印机
厄利垂亞	厄立特里亞
厄瓜多	厄瓜多爾
原始檔	源文件
原始碼	源代碼
原生代碼	本地代碼
參數列	參數表
取樣	採樣
取樣率	采样率
史瓦濟蘭	斯威士蘭
吉布地	吉布堤
吉里巴斯	基里巴斯
名稱空間	命名空間
吐瓦魯	圖瓦盧
向量	矢量
呼叫	調用
命令列	命令行
哈薩克	哈萨克斯坦
哥斯大黎加	哥斯達黎加
啟用	激活
喬治亞	格魯吉亞
單核心	宏內核
回撥	回調
圖示	圖標
土庫曼	土庫曼斯坦
地址	地址
坦尚尼亞	坦桑尼亞
型別	類型
型別註釋	類型簽名
埠	端口
執行緒	線程
執行長	首席執行官
塔吉克	塔吉克斯坦
塞席爾	塞舌爾
塞普勒斯	塞浦路斯
壁紙	壁紙
夏農	香農
外來鍵	外鍵
外接	外置
多型	多態
多執行緒	多線程
多工	多任務
多明尼加	多米尼加
太空梭	航天飛機
奈及利亞	尼日利亞
子音	輔音
字元	字符
字型	字體
字型檔	字庫
字尾	後綴
字符集	字符集
字首	前綴
存取	訪問
存檔	存盤
安地卡及巴布達	安提瓜和巴布達
宏都拉斯	洪都拉斯
宕機	死機
定址	尋址
實例	實例
實體地址	物理地址
實體記憶體	物理内存
寬頻	寬帶
寮國	老撾
對映	映射
對話方塊	對話框
對象	對象
尚比亞	贊比亞
尤拉	歐拉
尼日	尼日爾
巢狀	嵌套
工作列	任務欄
工作管理員	任務管理器
巴布亞紐幾內亞	巴布亞新幾内亚
巴貝多	巴巴多斯
布吉納法索	布基納法索
帛琉	帕劳
平行計算	並行計算
幾內亞比索	幾內亞比紹
序列	串行
序號產生器	註冊機
建構函式	構造函數
彙編	彙編
影印	複印
影象	圖像
後設資料	元數據
循環	循環
微控制器	單片機
快取	緩存
快取記憶體	高速緩存
快捷半導體	仙童半導體
快閃記憶體	閃存
感測	傳感
打開	打開
技術長	首席技術官
指令式程式設計	命令式編程
指令碼	腳本
掃描器	掃描儀
排程	調度
控制代碼	句柄
控制項	控件
摺積	捲積
擷取	截取
攜帶型	便攜式
支持者	支持者
支援	支持
效能	性能
整合	集成
數位	數字
數位印刷	數字印刷
數位電子	數字電子
數位電路	數字電路
數字	數字
數據機	調製解調器
文件	文檔
文字	文本
文書處理	文字處理
斯洛維尼亞	斯洛文尼亞
映象	鏡像
映象管	顯像管
時脈頻率	時鐘頻率
晶片	芯片
智慧	智能
智慧財產權	知識產權
有失真壓縮	有損壓縮
查德	乍得
核心	內核
格瑞那達	格林納達
桌上型	桌面型
桌上型電腦	臺式機
桌布	壁紙
標頭檔案	頭文件
模擬	仿真 模擬
模組	模塊
模里西斯	毛里求斯
檔名	文件名
檔案	文件
檢視	查看 視圖
欄位	字段
正規化	範式
正規表示式	正則表達式
母音	元音
氣泡跑需	冒泡排序
永續性	持久性
汶萊	文莱
沙烏地阿拉伯	沙特阿拉伯
波士尼亞赫塞哥維納	波斯尼亞黑塞哥維那
波札那	博茨瓦納
波長分波多工	波分複用
消息	消息
游標	光標
溢位	溢出
滑鼠	鼠標
演算法	算法
烏茲別克	烏茲別克斯坦
無失真壓縮	無損壓縮
燒錄	刻錄
營運長	首席運營官
片語	詞組
物件	對象
物件導向	面向對象
狀態列	狀態欄
獅子山	塞拉利昂
瓜地馬拉	危地馬拉
甘比亞	岡比亞
畫素	像素
登入	登錄
登出	註銷
盧安達	盧旺達
目的碼	目標代碼
直譯器	解釋器
相容	兼容
相簿	相冊
真實模式	實模式
矽	硅
硬碟	硬盤
硬體	硬件
碟片	盤片
碟符	盤符
磁碟	磁盤
磁軌	磁道
社區	社區
社羣	社區
程序	進程
程序導向	面向過程
程序式程式設計	過程式編程
程式	程序
程式碼	代碼
程式設計	編程
程式設計師	程序員
程式語言	編程語言
稽覈	審覈
積體電路	集成電路
空間多工	空分複用
突尼西亞	突尼斯
笨豬跳	蹦极
簡報	演示文稿
簡訊	短信
粘貼	粘貼
紐西蘭	新西蘭
純粹函數式程式語言	純函數式編程語言
索羅門羣島	所羅門羣島
索馬利亞	索馬里
終端使用者	最終用戶
組合語言	彙編語言
組譯	彙編
維德角	佛得角
網咖	網吧
網路	網絡
網路上的芳鄰	網上鄰居
網際網路	互聯網
線上	在線
縮圖	縮略圖
縮排	縮進
繫結	綁定
義大利	意大利
聖克里斯多福及尼維斯	聖基茨和尼維斯
聖文森及格瑞那丁	聖文森特和格林納丁斯
聖露西亞	聖盧西亞
聖馬利諾	聖馬力諾
肯亞	肯尼亞
膝上型電腦	筆記本電腦
茅利塔尼亞	毛里塔尼亞
莫三比克	莫桑比克
菜單	菜單
萬那杜	瓦努阿圖
葉門	也門
葛摩	科摩羅
蒲隆地	布隆迪
蓋亞那	圭亞那
藍芽	藍牙
蘇利南	蘇裏南
虛擬函式	虛函數
虛擬機器	虛擬機
虛擬碼	僞代碼
螢幕	屏幕
行內函數	內聯函數
行動式	便攜式
行動硬碟	移動硬盤
行動通訊	移動通信
行動電話	移動電話
衣索比亞	埃塞俄比亞
表示式	表達式
裝置	設備
覈取按鈕	複選按鈕
覈取方塊	複選框
視窗	窗口
視覺化	可視化
視訊	視頻
視訊記憶體	顯存
解析度	分辨率
解構函式	析構函數
解除安裝	卸載
