一个富贵心两只体面眼	一個富貴心兩隻體面眼
一个幽灵在欧洲游荡	一個幽靈在歐洲遊蕩
一个红脸一个白脸	一個紅臉一個白臉
一个萝卜一个坑儿	一個蘿蔔一個坑兒
一个跟斗十万八千里	一個跟斗十萬八千里
一个钱打二十四个结	一個錢打二十四個結
一个馒头也得蒸熟吃	一個饅頭也得蒸熟吃
一争两丑一让两有	一爭兩醜一讓兩有
一人之下万人之上	一人之下萬人之上
一人传虚万人传实	一人傳虛萬人傳實
一人得道鸡犬升天	一人得道雞犬升天
一佛出世二佛涅槃	一佛出世二佛涅槃
一佛出世二佛生天	一佛出世二佛生天
一分耕耘一分收获	一分耕耘一分收穫
一制性资源定位法	一制性資源定位法
一只碗不响两只碗叮当	一隻碗不響兩隻碗叮噹
一叶蔽目不见泰山	一葉蔽目不見泰山
一叶障目不见泰山	一葉障目不見泰山
一块羊肉落在狗口里	一塊羊肉落在狗口裏
一夫当关万夫莫开	一夫當關萬夫莫開
一夫当关万夫莫敌	一夫當關萬夫莫敵
一子出家七祖升天	一子出家七祖昇天
一字入公门九牛拔不出	一字入公門九牛拔不出
一家一个主一庙一个神	一家一個主一廟一個神
一将守关万夫莫开	一將守關萬夫莫開
一斗米养个恩人一石米养个仇人	一斗米養個恩人一石米養個仇人
一日不见如隔三秋	一日不見如隔三秋
一日叫娘终身是母	一日叫孃終身是母
一沐三握发一饭三吐哺	一沐三握髮一飯三吐哺
一百只麻雀炒成一盘菜	一百隻麻雀炒成一盤菜
一胎生两三个孩子	一胎生兩三個孩子
一般废弃物回收清除处理基金会	一般廢棄物回收清除處理基金會
一言已定千金不移	一言已定千金不移
一言既出驷马难追	一言既出駟馬難追
一龙生九种种种各别	一龍生九種種種各別
万事俱备只欠东风	萬事俱備只欠東風
万般皆下品惟有读书高	萬般皆下品惟有讀書高
万般皆是命半点不由人	萬般皆是命半點不由人
丈母娘看女婿越看越有趣	丈母孃看女婿越看越有趣
三个臭皮匠合成一个诸葛亮	三個臭皮匠合成一個諸葛亮
三个臭皮匠胜过诸葛亮	三個臭皮匠勝過諸葛亮
三个臭皮匠赛过一个诸葛亮	三個臭皮匠賽過一個諸葛亮
三个臭皮匠赛过诸葛亮	三個臭皮匠賽過諸葛亮
三个臭皮匠顶个诸葛亮	三個臭皮匠頂個諸葛亮
三人同心其利断金	三人同心其利斷金
三人抬不过个理字	三人擡不過個理字
三军可夺帅匹夫不可夺志	三軍可奪帥匹夫不可奪志
三军未发粮草先行	三軍未發糧草先行
三十二位元个人电脑	三十二位元個人電腦
三十六个牙齿捉对儿厮打	三十六個牙齒捉對兒廝打
三年不上门当亲也不亲	三年不上門當親也不親
三日不读书面目可憎	三日不讀書面目可憎
三百六十行行行出状元	三百六十行行行出狀元
上有天堂下有苏杭	上有天堂下有蘇杭
上海宝钢集团公司	上海寶鋼集團公司
上海文广新闻传媒集团	上海文廣新聞傳媒集團
上海汽车工业集团	上海汽車工業集團
上海浦东发展银行	上海浦東發展銀行
上海证券交易所综合股价指	上海證券交易所綜合股價指
不图打点只图混水	不圖打點只圖混水
