一个巴掌拍不响	一個巴掌拍不響
一个萝卜一个坑	一個蘿蔔一個坑
一个锅里吃饭的	一個鍋裏吃飯的
一亿一千五百万	一億一千五百萬
一亿七千五百万	一億七千五百萬
一亿三千五百万	一億三千五百萬
一亿两千五百万	一億兩千五百萬
一亿四千四百万	一億四千四百萬
一千一百五十万	一千一百五十萬
一千三百五十万	一千三百五十萬
一千两百四十亿	一千兩百四十億
一千五百五十万	一千五百五十萬
一千六百五十万	一千六百五十萬
一口吸尽西江水	一口吸盡西江水
一块石头掉井里	一塊石頭掉井裏
一失足成千古恨	一失足成千古恨
一头人情两面光	一頭人情兩面光
一将功成万骨枯	一將功成萬骨枯
一年之计在于春	一年之計在於春
一日之计在于晨	一日之計在於晨
一旦无常万事休	一旦無常萬事休
一条跳板上走路	一條跳板上走路
一步一个脚印儿	一步一個腳印兒
一致资源定址器	一致資源定址器
一身作事一身当	一身作事一身當
七大工业国集团	七大工業國集團
万丈高楼平地起	萬丈高樓平地起
万事皆从急中错	萬事皆從急中錯
万绿丛中一点红	萬綠叢中一點紅
万绿丛中红一点	萬綠叢中紅一點
三个和尚没水喝	三個和尚沒水喝
三个女人一个墟	三個女人一個墟
三个女人一台戏	三個女人一臺戲
三亿两千五百万	三億兩千五百萬
三江生态旅游区	三江生態旅遊區
上梁不正下梁歪	上樑不正下樑歪
上海证卷交易所	上海證卷交易所
不到乌江不尽头	不到烏江不盡頭
不干己事不张口	不干己事不張口
不把人看在眼里	不把人看在眼裏
不撞南墙不回头	不撞南牆不回頭
不用本钱的勾当	不用本錢的勾當
不看金面看佛面	不看金面看佛面
业精于勤荒于嬉	業精於勤荒於嬉
两个或两个以上	兩個或兩個以上
两个肩膀扛张嘴	兩個肩膀扛張嘴
中俄尼布楚条约	中俄尼布楚條約
中华文化复兴节	中華文化復興節
中国中央电视台	中國中央電視臺
中国人民志愿军	中國人民志願軍
中国历史博物馆	中國歷史博物館
中国进出口银行	中國進出口銀行
中国餐馆症候群	中國餐館症候羣
中央法规标准法	中央法規標準法
中文标准交换码	中文標準交換碼
丰宁满族自治县	豐寧滿族自治縣
临夏回族自治州	臨夏回族自治州
乌什塔拉回族乡	烏什塔拉回族鄉
乌兹别克共和国	烏茲別克共和國
乌托邦社会主义	烏托邦社會主義
乌拉圭回合谈判	烏拉圭回合談判
乘长风破万里浪	乘長風破萬里浪
书中自有千锺粟	書中自有千鍾粟
于斯納爾斯貝里	于斯納爾斯貝里
于斯纳尔斯贝里	于斯納爾斯貝里
五十二亿五千万	五十二億五千萬
五百姻缘天注定	五百姻緣天註定
亚尔发和奥米加	亞爾發和奧米加
亚洲足球联合会	亞洲足球聯合會
人到中年万事休	人到中年萬事休
人如风后入江云	人如風後入江雲
人心不同如其面	人心不同如其面
人怕出名猪怕壮	人怕出名豬怕壯
人怕出名猪怕肥	人怕出名豬怕肥
人类基因组计划	人類基因組計劃
介质访问控制层	介質訪問控制層
从云端栽了下来	從雲端栽了下來
以十人而制千虎	以十人而制千虎
会计准则理事会	會計準則理事會
伯罗奔尼撒同盟	伯羅奔尼撒同盟
伸手不打笑面人	伸手不打笑面人
佛瑞斯特怀特克	佛瑞斯特懷特克
信息与通讯技术	信息與通訊技術
假期忧郁症候羣	假期憂鬱症候羣
偷得浮生半日闲	偷得浮生半日閒
克罗地亚共和国	克羅地亞共和國
全国不分区代表	全國不分區代表
全彩干式印表机	全彩乾式印表機
八仙桌上摆夜壸	八仙桌上擺夜壺
八位元个人电脑	八位元個人電腦
八十天环游地球	八十天環遊地球
八千里路云和月	八千里路雲和月
公公向孙子磕头	公公向孫子磕頭
公法上职务关系	公法上職務關係
公门之中好修行	公門之中好修行
共产主义青年团	共產主義青年團
农业生产合作社	農業生產合作社
农产品平准基金	農產品平準基金
冠状动脉硬化症	冠狀動脈硬化症
冷灰里爆出火来	冷灰裏爆出火來
几家欢乐几家愁	幾家歡樂幾家愁
出头椽儿先朽烂	出頭椽兒先朽爛
分布式发展模型	分布式發展模型
分布式拒绝服务	分佈式拒絕服務
创伤后压力紊乱	創傷後壓力紊亂
别人的肉偎不热	別人的肉偎不熱
别日南鸿才北去	別日南鴻纔北去
刮风下雪倒便宜	刮風下雪倒便宜
刺激启动不同步	刺激啓動不同步
前词汇语音加工	前詞彙語音加工
加勒比海共同体	加勒比海共同體
加拿大铝业集团	加拿大鋁業集團
劳工退休准备金	勞工退休準備金
化隆回族自治县	化隆回族自治縣
北京中医药大学	北京中醫藥大學
北马里亚纳群岛	北馬裏亞納羣島
十个指头有长短	十個指頭有長短
十个指头朝里弯	十個指頭朝裏彎
十五个吊桶打水	十五個吊桶打水
十谒朱门九不开	十謁朱門九不開
十里长亭无客走	十里長亭無客走
千年田地八百主	千年田地八百主
千里姻缘一线牵	千裏姻緣一綫牽
千里达和多巴哥	千里達和多巴哥
千鸟渊国家公墓	千鳥淵國家公墓
单核细胞增多症	單核細胞增多症
卖了儿子招女婿	賣了兒子招女婿
卖油娘子水梳头	賣油娘子水梳頭
卖盐的做雕銮匠	賣鹽的做雕鑾匠
卖金须向识金家	賣金須向識金家
南枝向火北枝寒	南枝向火北枝寒
历史比较语言学	歷史比較語言學
双语立体声系统	雙語立體聲系統
反酷刑折磨公约	反酷刑折磨公約
发乎情止乎礼义	發乎情止乎禮義
变异型克雅氏症	變異型克雅氏症
只重衣衫不重人	只重衣衫不重人
叮叮当当的婆娘	叮叮噹噹的婆娘
台北市喜愿协会	臺北市喜願協會
台北捷运中和线	臺北捷運中和綫
台北捷运新店线	臺北捷運新店綫
台北捷运木栅线	臺北捷運木柵綫
台北捷运淡水线	臺北捷運淡水綫
台湾世界展望会	臺灣世界展望會
台湾新美术运动	臺灣新美術運動
