瑪利歐	马力欧
國際足盟大賽	FIFA
決勝時刻	使命召唤
模擬市民	模拟人生
極速快感	极品飞车
刺客教條	刺客信条
勁爆美式足球	麦登橄榄球
世界足球競賽	实况足球
惡靈古堡	生化危机
音速小子	刺猬索尼克
跑車浪漫旅	GT赛车
薩爾達傳說	塞尔达传说
古墓奇兵	古墓丽影
最後一戰	光环
魔物獵人	怪物猎人
戰地風雲	战地
潛龍諜影	合金装备
邊緣禁地	无主之地
袋狼大進擊	古惑狼
絕對武力	反恐精英
極地戰嚎	孤岛惊魂
秘境探險	神秘海域
快打旋風	街头霸王
異塵餘生	辐射
勁爆美國職籃	NBA Live
樂高星際大戰	乐高星球大战
星際大戰	星球大战
縱橫諜海	细胞分裂
終極動員令	命令与征服
黑暗靈魂	黑暗之魂
拉捷特與克拉克	瑞奇与叮当
雷射超人	雷曼
虹彩六號	彩虹六号
火線獵殺	幽灵行动
世紀帝國	帝国时代
蜘蛛人	蜘蛛侠
全軍破敵	全面战争
惡魔獵人	鬼泣
極道車魂	极道试驾
灣岸	湾岸午夜俱乐部
星海爭霸	星际争霸
橫衝直撞	火爆狂飙
劍魂	灵魂能力
空戰奇兵	皇牌空战
模擬樂園	过山车大亨
黑街聖徒	黑道圣徒
死亡復甦	丧尸围城
妙廚老媽	料理妈妈
人中之龍	如龙
瑪利歐賽車	马力欧赛车
轟炸超人	炸弹人
太鼓之達人	太鼓达人
魔戒	指环王
生死格鬥	死或生
聖火降魔錄	火焰之纹章
四海兄弟	黑手党
江湖本色	马克思·佩恩
世界街頭賽車	哥谭赛车计划
柏德之門	博德之门
實況桌球	实况乒乓球
VR快打	VR战士
誓血龍騎士	龙背上的骑兵
西洋棋大師	国际象棋大师
瑪利歐聚會	马力欧聚会
阿爾法協定	阿尔法协议
機戰傭兵	装甲核心
魔兵驚天錄	猎天使魔女
超能殺機	超凡双生
狂彈風暴	子弹风暴
末日之戰	孤岛危机
末世騎士	暗黑血统
絕命異次元	死亡空间
惡魔靈魂	恶魔之魂
魔龍寶冠	龙之皇冠
鋼彈無雙	高达无双
戰慄突擊	极度恐慌
玄天神劍	天剑
暴雨殺機	暴雨
喋血雙雄	凯恩与林奇
雷光歸來	雷霆归来
靚影特務	镜之边缘
摩托風暴	机车风暴
忍者外傳	忍者龙剑传
SEGA高爾夫俱樂部	世嘉高尔夫俱乐部
SEGA拉力	世嘉拉力
沉默之丘	寂静岭
香港秘密警察	热血无赖
鷹戰X	鹰击长空
灣岸競速	湾岸午夜俱乐部竞速
無雙OROCHI	无双大蛇
憤怒鳥	愤怒的小鸟
阿卡漢騎士	阿卡姆骑士
光明之子	光之子
電馭叛客2077	赛博朋克2077
闇龍紀元	龙腾世纪
美夢俱樂部	梦幻俱乐部
垂死之光	消逝的光芒
邪靈入侵	恶灵附身
聖騎士之戰	罪恶装备
狙擊之神	狙击精英
花式撞球	花式台球
哥吉拉	哥斯拉
星際搜尋	星际搜索
街頭快打	快打旋风
瓦利歐	瓦力欧
快樂腳	快乐的大脚
超人特攻隊	超人总动员
鋼鐵人	钢铁侠
成龍小子	成龙历险记
移動世界	时空骇客
格鬥天王	拳皇
風之少年	风之克罗诺亚
魔法少年賈修	金童卡修
越南大戰	合金弹头
怪怪屋	怪兽屋
怪獸電力公司	怪兽公司
神鬼傳奇	木乃伊归来
打獵季節	丛林大反攻
森林保衛戰	篱笆墙外
神鬼奇航	加勒比海盗
北極特快車	极地特快
赤色戰線	红色派系
火焰末日	火龙帝国
霸道橫行	落水狗
洛基	洛奇
忍者龜	忍者神龟
魔鬼終結者	终结者
純愛手札	心跳回忆
魔域幻境之浴血戰場	虚幻竞技场
奇幻精靈事件簿	奇幻精灵历险记
少年悍將	少年泰坦
突變第三型	怪形
